Thumb;SKU;Name;Color;Category;Category Position;Brand;Seller;Balance;First Date;Comments;Rating;Final price;SPP Price;Revenue potential;Days in stock;Sales;Sales Per Day Average;Revenue;Pics Count;Hax Video;Categories Last Count
https://basket-05.wb.ru/vol925/part92513/92513417/images/c246x328/1.jpg;92513417;Простыня натяжная трикотажная на резинке 160х200 см;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;85;Stretch Jersy;ИП Мухин Е В;212;04.08.2022;821;5;745;655;275650;30;370;12,3333;275650;7;0;3
https://basket-02.wb.ru/vol156/part15660/15660125/images/c246x328/1.jpg;15660125;Простыня Евро Комфорт;серый,бежевый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;216;Galtex;ООО Галтекс;147;11.10.2020;139;5;537;473;389935,7143;21;486;16,2;272955;7;0;2
https://basket-06.wb.ru/vol1023/part102343/102343934/images/c246x328/1.jpg;102343934;Простынь на резинке 90х200 х26см, хлопок;светло-зеленый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;86;YERRNA;ОАО Шуйские Ситцы ХБК;581;07.11.2022;347;5;955;840;272763;30;320;10,6667;272763;12;1;3
https://basket-05.wb.ru/vol864/part86495/86495186/images/c246x328/1.jpg;86495186;Простыни натяжные;черный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7879;ОТК ПРОИЗВОДСТВО;ООО ОТК Производство;476;24.10.2022;561;5;522;459;407943;20;521;17,3667;271962;9;0;2
https://basket-03.wb.ru/vol392/part39235/39235729/images/c246x328/1.jpg;39235729;простынь на резинке 180х200 / бортик 20 см / бязь;коричневый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;57;Ночь Нежна;ООО Альфа - Трейд;157;11.09.2021;289;5;960;844;271680;30;283;9,4333;271680;5;1;6
https://basket-06.wb.ru/vol1023/part102343/102343933/images/c246x328/1.jpg;102343933;Простынь на резинке 90х200 х26см, хлопок;пудровый,пастельно-розовый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7769;YERRNA;ОАО Шуйские Ситцы ХБК;192;23.10.2022;347;5;982;864;260906;30;283;9,4333;260906;11;1;7
https://basket-01.wb.ru/vol112/part11223/11223205/images/c246x328/1.jpg;11223205;простынь на резинке 140х200,простынь 2 спальная,резинка по периметру,100% хлопок,подарок;лиловый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;50;Ночь Нежна;ООО Альфа - Трейд;185;26.02.2020;410;5;876;770;255384;30;314;10,4667;255384;9;1;6
https://basket-02.wb.ru/vol252/part25278/25278784/images/c246x328/1.jpg;25278784;Простынь на резинке 120х200 махровая непромокаемая простыня;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;62;Barhouse+;Barhouse;151;03.06.2021;71;5;1114;980;262750,3448;29;228;7,6;253992;10;0;6
https://basket-02.wb.ru/vol144/part14453/14453455/images/c246x328/1.jpg;14453455;Простынь на резинке 160х200 трикотажная ;темно-серый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;-1;Тридевятое царство (Домашний текстиль Т37);ООО Атекс;0;04.09.2020;3482;4;777;582;400653,1579;19;339;11,3;253747;8;1;0
https://basket-05.wb.ru/vol939/part93932/93932242/images/c246x328/1.jpg;93932242;Простыня натяжная трикотажная на резинке 180х200 см;шоколадный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;125;Stretch Jersy;ИП Мухин Е В;85;08.08.2022;870;5;805;708;250355;30;311;10,3667;250355;8;0;3
https://basket-02.wb.ru/vol170/part17062/17062849/images/c246x328/1.jpg;17062849;Простынь на резинке 140х200 трикотажная ;светло-серый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7820;Тридевятое царство (Домашний текстиль Т37);ООО Атекс;332;30.11.2020;1991;5;716;630;250308;30;357;11,9;250308;8;1;2
https://basket-05.wb.ru/vol926/part92621/92621797/images/c246x328/1.jpg;92621797;Простыня натяжная трикотажная на резинке 180х200 см;какао;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;88;Stretch Jersy;ИП Мухин Е В;288;04.08.2022;870;5;805;708;249550;30;310;10,3333;249550;8;0;3
https://basket-01.wb.ru/vol108/part10836/10836254/images/c246x328/1.jpg;10836254;Простынь на резинке 180х200;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;71;Delordo Home collection;ИП Чомаев Исмагиль Ахматович;46;29.01.2020;144;5;1752;1542;247116;30;138;4,6;247116;3;0;2
https://basket-02.wb.ru/vol266/part26626/26626750/images/c246x328/1.jpg;26626750;Простынь на резинке 180х200 хлопок;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;65;Княжеский сон;Княжеский сон;61;22.04.2021;206;4;1535;1351;245600;30;160;5,3333;245600;4;0;3
https://basket-05.wb.ru/vol839/part83984/83984937/images/c246x328/1.jpg;83984937;Простынь на резинке 90х200 х26см, хлопок;темно-синий;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;336;YERRNA;ОАО Шуйские Ситцы ХБК;323;11.07.2022;347;5;982;864;243318;30;277;9,2333;243318;11;0;3
https://basket-02.wb.ru/vol252/part25278/25278788/images/c246x328/1.jpg;25278788;Простынь на резинке 200х200 махровая непромокаемая простыня;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;66;Barhouse+;Barhouse;262;03.06.2021;104;5;1389;1222;243075;30;175;5,8333;243075;10;1;6
https://basket-05.wb.ru/vol925/part92518/92518032/images/c246x328/1.jpg;92518032;Простыня натяжная трикотажная на резинке 160х200 см;шоколадный;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;59;Stretch Jersy;ИП Мухин Е В;151;08.08.2022;821;5;745;655;239145;30;321;10,7;239145;8;0;6
https://basket-06.wb.ru/vol1036/part103626/103626988/images/c246x328/1.jpg;103626988;Простынь на резинке 140х200 х26см,хлопок;пудровый,пастельно-розовый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;-1;YERRNA;ОАО Шуйские Ситцы ХБК;0;27.10.2022;424;5;1032;774;357546;20;195;6,5;238364;11;1;0
https://basket-10.wb.ru/vol1336/part133604/133604433/images/c246x328/1.jpg;133604433;Простыня трикотажная на резинке 160х200;графит;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7854;Nefertiti;ИП Спирина Н С;223;17.11.2022;180;5;656;577;237164;30;394;13,1333;237164;6;0;1
https://basket-05.wb.ru/vol865/part86501/86501229/images/c246x328/1.jpg;86501229;Простыни натяжные;темно-синий;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7852;ОТК ПРОИЗВОДСТВО;ООО ОТК Производство;59;22.07.2022;375;5;550;484;281160;25;426;14,2;234300;9;0;2
https://basket-05.wb.ru/vol926/part92622/92622223/images/c246x328/1.jpg;92622223;Простыня натяжная трикотажная на резинке 180х200 см;оливковый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;189;Stretch Jersy;ИП Мухин Е В;66;15.08.2022;870;5;805;708;233450;30;290;9,6667;233450;8;0;3
https://basket-05.wb.ru/vol864/part86495/86495182/images/c246x328/1.jpg;86495182;Простыни натяжные;сиреневый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;7768;ОТК ПРОИЗВОДСТВО;ООО ОТК Производство;480;24.10.2022;561;5;522;459;367597,8947;19;446;14,8667;232812;9;0;2
